Python,20487725,TheAlgorithms,Organization
transformers,25720743,huggingface,Organization
spaCy,20011530,explosion,Organization
django-rest-framework,19159390,encode,Organization
algo,8136224,wangzheng0822,User
linkedin-skill-assessments-quizzes,13170022,Ebazhanov,User
celery,319983,celery,Organization
jumpserver,6006570,jumpserver,Organization
luigi,251374,spotify,Organization
gpt-2,14957082,openai,Organization
pyspider,646451,binux,User
modern-cpp-features,952574,AnthonyCalandra,User
rasa,21214473,RasaHQ,Organization
wxpy,16631068,youfou,User
salt,1147473,saltstack,Organization
tensor2tensor,15658638,tensorflow,Organization
Zappa,139987,Miserlou,User
pydantic,110818415,pydantic,Organization
nltk,124114,nltk,Organization
clip-as-service,60539444,jina-ai,Organization
pyxel,678802,kitao,User
dgl,11508361,dmlc,Organization
mycli,11810727,dbcli,Organization
stylegan2,2695301,NVlabs,Organization
faceai,14868811,vipstone,User
Statistical-Learning-Method_Code,45008728,Dod-o,User
pyodide,77002075,pyodide,Organization
thumbor,6918711,thumbor,Organization
word_cloud,449558,amueller,User
portia,699596,scrapinghub,Organization
